CH 1	CH 2	CH 3	DE 1	DE 2	DE 3	EN 1	EN 2	EN 3
Swiss German term	Swiss German term (alternate)		High German translation	High German translation (alternate)		English Translation	English translation (alternate)	
cho	choo		kommen			to come		
ich chume			ich komme			I come		
du chunsch			du kommst			you come		
er chunt			er kommt			he comes		
mir chömed			wir kommen			we come		
ich bi cho			ich bin gekommen			I came		
geschter			gestern			yesterday		
de Maa			der Mann			the man	the husband	
da			hier			here		
det	dete		da			there		
det äne			da drüben			over there		
mol	moll	doch	doch			yu-huh	is so	is too
Schtai am Rhii			Stein am Rhein			Stein am Rhein		
wone			wohnen			to live	to dwell	
scho			schon			already		
vo			von			from		
au			auch			also		
mit oi	mit eu		mit euch			with y'all		
s Äntli			das Entchen			the duckling		
äntli			endlich			finally		
d Büchs	d Dose		die Dose			the can		
Mir sind bi ihm dihei.			Wir sind bei ihm zu Hause.			We are at his house.		
no	na		noch			still		
Züri			Zürich			Zurich		
grad			gerade			just	right away	
jetz			jetzt			now		
kai			kein			not a		
choche	koche		kochen			to cook	to boil	
d Brugg			die Brücke			the bridge		
zrugg			zurück			back		
du bisch			du bist			you are		
er isch			er ist			he is		
du hasch			du hast			you have		
de Schtärn			der Stern			the star		
schpile			spielen			to play		
de Gascht			der Gast			the guest		
de Puure			der Bauer			the farmer		
Dütsch	Tütsch		Deutsch			German		
dörfe	törfe		durfen			to be allowed to		
d Liecht			die Licht			the light		
Wiä bitte?	Wie bitte?		Wie bitte?			I beg your pardon?		
de Spiegel			der Spiegel			the mirror		
tüüf			tief			deep		
dur			durch			through		
Wiä gaat's?	Wie gaat's?		Wie geht's?			How are you?		
schlächt			schlecht			bad		
de Chäfer			der Käfer			the beetle		
d Brüle			die Brille			the (pair of) glasses		
s Buäch			das Buch			the book		
guet	guät		gut			good		
d Muus			die Maus			the mouse		
d Füürzüüg			das Feuerzeug			the lighter		
Lüüt			die Leute			people		
hütt			heute			today		
sii	si		sein			to be		
d Ziit			die Zeit			the time		
bi ois			bei uns			at our place		
d Wuche			die Woche			the week		
d Sunne			die Sonne			the sun		
s Brötli			das Brotchen			the roll		
